champion,position,win_rate,pick_rate,ban_rate,kda,tier
Jinx,ADC,53.0,15.0,5.0,2.3,1
Ashe,ADC,52.0,14.000000000000002,5.0,2.33,1
Swain,ADC,54.0,2.0,3.0,2.91,2
Smolder,ADC,51.0,10.0,6.0,2.32,2
Miss Fortune,ADC,51.0,7.000000000000001,2.0,2.33,2
Vayne,ADC,51.0,6.0,11.0,2.13,2
Caitlyn,ADC,50.0,16.0,27.0,2.12,2
Jhin,ADC,50.0,16.0,2.0,2.83,2
Kog'Maw,ADC,53.0,2.0,1.0,2.13,3
Nilah,ADC,53.0,2.0,3.0,2.17,3
Veigar,ADC,53.0,1.0,2.0,2.41,3
Samira,ADC,52.0,5.0,7.000000000000001,2.27,3
Xayah,ADC,52.0,4.0,1.0,2.37,3
Twitch,ADC,51.0,5.0,7.000000000000001,2.31,3
Kai'Sa,ADC,49.0,15.0,2.0,2.45,3
Ezreal,ADC,49.0,19.0,9.0,2.48,3
Brand,ADC,54.0,1.0,2.0,2.34,4
Yasuo,ADC,53.0,1.0,19.0,1.98,4
Aurelion Sol,ADC,53.0,1.0,1.0,2.79,4
Karthus,ADC,53.0,1.0,1.0,2.1,4
Vel'Koz,ADC,53.0,1.0,1.0,2.68,4
Senna,ADC,52.0,3.0,1.0,3.01,4
Ziggs,ADC,52.0,2.0,0.0,2.56,4
Tristana,ADC,51.0,4.0,1.0,2.36,4
Sivir,ADC,50.0,5.0,4.0,2.44,4
Draven,ADC,50.0,4.0,15.0,2.01,4
Aphelios,ADC,50.0,5.0,3.0,1.95,4
Mel,ADC,50.0,2.0,37.0,2.6,4
Lucian,ADC,49.0,7.000000000000001,2.0,2.3,4
Yunara,ADC,49.0,9.0,3.0,2.17,4
Seraphine,ADC,52.0,1.0,1.0,3.03,5
Zeri,ADC,50.0,2.0,0.0,2.27,5
Vladimir,ADC,50.0,1.0,4.0,2.61,5
Corki,ADC,49.0,3.0,1.0,2.34,5
Varus,ADC,48.0,4.0,3.0,2.25,5
Kalista,ADC,48.0,1.0,0.0,2.08,5
Fiddlesticks,JUNGLE,53.0,3.0,2.0,2.8,1
Rammus,JUNGLE,53.0,2.0,3.0,3.42,1
Rek'Sai,JUNGLE,53.0,2.0,2.0,3.27,1
Nocturne,JUNGLE,52.0,8.0,12.0,2.97,1
Briar,JUNGLE,52.0,5.0,10.0,2.42,1
Xin Zhao,JUNGLE,52.0,6.0,2.0,2.69,1
Lee Sin,JUNGLE,51.0,13.0,14.000000000000002,3.03,1
Naafiri,JUNGLE,51.0,6.0,18.0,2.95,1
Master Yi,JUNGLE,51.0,6.0,14.000000000000002,2.3,1
Graves,JUNGLE,50.0,14.000000000000002,21.0,2.61,1
Dr. Mundo,JUNGLE,52.0,4.0,8.0,3.14,2
Nunu & Willump,JUNGLE,52.0,2.0,1.0,3.05,2
Elise,JUNGLE,52.0,2.0,2.0,2.77,2
Nasus,JUNGLE,52.0,1.0,5.0,2.87,2
Amumu,JUNGLE,52.0,2.0,1.0,2.61,2
Bel'Veth,JUNGLE,52.0,2.0,3.0,2.75,2
Shen,JUNGLE,52.0,2.0,3.0,3.79,2
Jarvan IV,JUNGLE,51.0,7.000000000000001,2.0,3.48,2
Kayn,JUNGLE,51.0,6.0,4.0,2.49,2
Shyvana,JUNGLE,51.0,6.0,13.0,2.66,2
Ekko,JUNGLE,51.0,4.0,3.0,2.9,2
Shaco,JUNGLE,51.0,4.0,17.0,2.87,2
Evelynn,JUNGLE,51.0,2.0,3.0,3.05,2
Diana,JUNGLE,51.0,4.0,5.0,2.51,2
Viego,JUNGLE,49.0,10.0,11.0,2.58,2
Zyra,JUNGLE,52.0,1.0,3.0,2.91,3
Ivern,JUNGLE,52.0,1.0,0.0,3.76,3
Volibear,JUNGLE,51.0,2.0,3.0,2.6,3
Warwick,JUNGLE,51.0,2.0,1.0,2.51,3
Zac,JUNGLE,51.0,2.0,1.0,3.45,3
